policy,tau_c,tau_r,C_h,automation_rate_mean,automation_rate_std,exposure_rate_mean,exposure_rate_std,leakage_rate_mean,leakage_rate_std,system_f1_mean,system_f1_std,expected_cost_mean,expected_cost_std,human_cost_mean,human_cost_std,error_cost_mean,error_cost_std,leak_cost_mean,leak_cost_std
autonomous,,,2.0,1.0,0.0,1.0,0.0,0.356792813329761,0.08178219275227629,0.9153834639461195,0.012229090062784874,5.529148500919343,0.9202274949568079,0.0,0.0,1.056,0.18077610461562674,4.473148500919342,0.9442156345695787
autonomous,,,5.0,1.0,0.0,1.0,0.0,0.356792813329761,0.08178219275227629,0.9153834639461195,0.012229090062784874,5.529148500919343,0.9202274949568079,0.0,0.0,1.056,0.18077610461562674,4.473148500919342,0.9442156345695787
autonomous,,,10.0,1.0,0.0,1.0,0.0,0.356792813329761,0.08178219275227629,0.9153834639461195,0.012229090062784874,5.529148500919343,0.9202274949568079,0.0,0.0,1.056,0.18077610461562674,4.473148500919342,0.9442156345695787
autonomous,,,20.0,1.0,0.0,1.0,0.0,0.356792813329761,0.08178219275227629,0.9153834639461195,0.012229090062784874,5.529148500919343,0.9202274949568079,0.0,0.0,1.056,0.18077610461562674,4.473148500919342,0.9442156345695787
autonomous,,,40.0,1.0,0.0,1.0,0.0,0.356792813329761,0.08178219275227629,0.9153834639461195,0.012229090062784874,5.529148500919343,0.9202274949568079,0.0,0.0,1.056,0.18077610461562674,4.473148500919342,0.9442156345695787
confidence_only,0.75,,2.0,0.9480000000000001,0.029495762407505247,0.9219156635728979,0.06721680708936743,0.31884200268045526,0.08176309500224548,0.9236031713813435,0.013526428369350488,5.029887814164161,1.0147381644828721,0.10400000000000001,0.0589915248150105,0.9,0.11313708498984765,4.025887814164162,1.0276555338506357
confidence_only,0.75,,5.0,0.9480000000000001,0.029495762407505247,0.9219156635728979,0.06721680708936743,0.31884200268045526,0.08176309500224548,0.9236031713813435,0.013526428369350488,5.185887814164162,1.0448343715898352,0.26,0.14747881203752625,0.9,0.11313708498984765,4.025887814164162,1.0276555338506357
confidence_only,0.75,,10.0,0.9480000000000001,0.029495762407505247,0.9219156635728979,0.06721680708936743,0.31884200268045526,0.08176309500224548,0.9236031713813435,0.013526428369350488,5.445887814164162,1.1089579493310922,0.52,0.2949576240750525,0.9,0.11313708498984765,4.025887814164162,1.0276555338506357
confidence_only,0.75,,20.0,0.9480000000000001,0.029495762407505247,0.9219156635728979,0.06721680708936743,0.31884200268045526,0.08176309500224548,0.9236031713813435,0.013526428369350488,5.965887814164161,1.279259735957796,1.04,0.589915248150105,0.9,0.11313708498984765,4.025887814164162,1.0276555338506357
confidence_only,0.75,,40.0,0.9480000000000001,0.029495762407505247,0.9219156635728979,0.06721680708936743,0.31884200268045526,0.08176309500224548,0.9236031713813435,0.013526428369350488,7.005887814164161,1.723931828512714,2.08,1.17983049630021,0.9,0.11313708498984765,4.025887814164162,1.0276555338506357
confidence_only,0.8,,2.0,0.688,0.0807465169527454,0.6528424004168146,0.16121281676255786,0.20363691625402075,0.10078022170988134,0.9508678014844312,0.014233546887362749,3.798833553195,1.2811497270066892,0.624,0.16149303390549077,0.596,0.2026820169625317,2.5788335531949995,1.2919892993797457
confidence_only,0.8,,5.0,0.688,0.0807465169527454,0.6528424004168146,0.16121281676255786,0.20363691625402075,0.10078022170988134,0.9508678014844312,0.014233546887362749,4.734833553195,1.1518898199710916,1.56,0.403732584763727,0.596,0.2026820169625317,2.5788335531949995,1.2919892993797457
confidence_only,0.8,,10.0,0.688,0.0807465169527454,0.6528424004168146,0.16121281676255786,0.20363691625402075,0.10078022170988134,0.9508678014844312,0.014233546887362749,6.294833553195,1.0312578312878726,3.12,0.807465169527454,0.596,0.2026820169625317,2.5788335531949995,1.2919892993797457
confidence_only,0.8,,20.0,0.688,0.0807465169527454,0.6528424004168146,0.16121281676255786,0.20363691625402075,0.10078022170988134,0.9508678014844312,0.014233546887362749,9.414833553194999,1.2307631084297381,6.24,1.614930339054908,0.596,0.2026820169625317,2.5788335531949995,1.2919892993797457
confidence_only,0.8,,40.0,0.688,0.0807465169527454,0.6528424004168146,0.16121281676255786,0.20363691625402075,0.10078022170988134,0.9508678014844312,0.014233546887362749,15.654833553195,2.5158195599107978,12.48,3.229860678109816,0.596,0.2026820169625317,2.5788335531949995,1.2919892993797457
confidence_only,0.85,,2.0,0.256,0.06503845016603639,0.22690874658007557,0.05747487512194198,0.05469378825115575,0.03884725341598576,0.9861673042172313,0.00919002668095645,2.3387916584014894,0.45620399746876567,1.488,0.1300769003320728,0.164,0.09633275663033837,0.6867916584014893,0.4946694918546935
confidence_only,0.85,,5.0,0.256,0.06503845016603639,0.22690874658007557,0.05747487512194198,0.05469378825115575,0.03884725341598576,0.9861673042172313,0.00919002668095645,4.57079165840149,0.38589670327593206,3.72,0.3251922508301818,0.164,0.09633275663033837,0.6867916584014893,0.4946694918546935
confidence_only,0.85,,10.0,0.256,0.06503845016603639,0.22690874658007557,0.05747487512194198,0.05469378825115575,0.03884725341598576,0.9861673042172313,0.00919002668095645,8.290791658401488,0.4684441226946403,7.44,0.6503845016603635,0.164,0.09633275663033837,0.6867916584014893,0.4946694918546935
confidence_only,0.85,,20.0,0.256,0.06503845016603639,0.22690874658007557,0.05747487512194198,0.05469378825115575,0.03884725341598576,0.9861673042172313,0.00919002668095645,15.73079165840149,0.9974904295595973,14.88,1.300769003320727,0.164,0.09633275663033837,0.6867916584014893,0.4946694918546935
confidence_only,0.85,,40.0,0.256,0.06503845016603639,0.22690874658007557,0.05747487512194198,0.05469378825115575,0.03884725341598576,0.9861673042172313,0.00919002668095645,30.61079165840149,2.2547908282177023,29.76,2.601538006641454,0.164,0.09633275663033837,0.6867916584014893,0.4946694918546935
confidence_only,0.9,,2.0,0.028000000000000004,0.0216794833886788,0.0317562953165023,0.014478386964103715,0.0037735849056603774,0.008437992367923735,0.998702813070927,0.002130497785103349,2.007926392316818,0.09740829423969487,1.9439999999999997,0.04335896677735764,0.012,0.01788854381999832,0.05192639231681824,0.11611094304672838
confidence_only,0.9,,5.0,0.028000000000000004,0.0216794833886788,0.0317562953165023,0.014478386964103715,0.0037735849056603774,0.008437992367923735,0.998702813070927,0.002130497785103349,4.923926392316818,0.0679414573780294,4.86,0.10839741694339422,0.012,0.01788854381999832,0.05192639231681824,0.11611094304672838
confidence_only,0.9,,10.0,0.028000000000000004,0.0216794833886788,0.0317562953165023,0.014478386964103715,0.0037735849056603774,0.008437992367923735,0.998702813070927,0.002130497785103349,9.783926392316818,0.12367491541910784,9.72,0.21679483388678844,0.012,0.01788854381999832,0.05192639231681824,0.11611094304672838
confidence_only,0.9,,20.0,0.028000000000000004,0.0216794833886788,0.0317562953165023,0.014478386964103715,0.0037735849056603774,0.008437992367923735,0.998702813070927,0.002130497785103349,19.50392639231682,0.3273444223604092,19.44,0.4335896677735769,0.012,0.01788854381999832,0.05192639231681824,0.11611094304672838
confidence_only,0.9,,40.0,0.028000000000000004,0.0216794833886788,0.0317562953165023,0.014478386964103715,0.0037735849056603774,0.008437992367923735,0.998702813070927,0.002130497785103349,38.94392639231682,0.7568831766815561,38.88,0.8671793355471538,0.012,0.01788854381999832,0.05192639231681824,0.11611094304672838
confidence_only,0.95,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
confidence_only,0.95,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
confidence_only,0.95,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
confidence_only,0.95,,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
confidence_only,0.95,,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
privacy_triggered,0.75,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
privacy_triggered,0.75,0.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
privacy_triggered,0.75,0.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
privacy_triggered,0.75,0.2,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
privacy_triggered,0.75,0.2,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
privacy_triggered,0.75,0.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
privacy_triggered,0.75,0.3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
privacy_triggered,0.75,0.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
privacy_triggered,0.75,0.3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
privacy_triggered,0.75,0.3,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
privacy_triggered,0.75,0.4,2.0,0.06799999999999999,0.047116875957558986,0.007803030303030303,0.010725785293213103,0.0,0.0,0.9982756853597241,0.002582052690221372,1.888,0.06572670690061991,1.864,0.09423375191511799,0.024,0.03577708763999664,0.0,0.0
privacy_triggered,0.75,0.4,5.0,0.06799999999999999,0.047116875957558986,0.007803030303030303,0.010725785293213103,0.0,0.0,0.9982756853597241,0.002582052690221372,4.684,0.20537770083434062,4.66,0.2355843797877948,0.024,0.03577708763999664,0.0,0.0
privacy_triggered,0.75,0.4,10.0,0.06799999999999999,0.047116875957558986,0.007803030303030303,0.010725785293213103,0.0,0.0,0.9982756853597241,0.002582052690221372,9.344,0.4405451168722671,9.32,0.4711687595755896,0.024,0.03577708763999664,0.0,0.0
privacy_triggered,0.75,0.4,20.0,0.06799999999999999,0.047116875957558986,0.007803030303030303,0.010725785293213103,0.0,0.0,0.9982756853597241,0.002582052690221372,18.663999999999998,0.9115261927119812,18.64,0.9423375191511792,0.024,0.03577708763999664,0.0,0.0
privacy_triggered,0.75,0.4,40.0,0.06799999999999999,0.047116875957558986,0.007803030303030303,0.010725785293213103,0.0,0.0,0.9982756853597241,0.002582052690221372,37.303999999999995,1.8537745278215458,37.28,1.8846750383023585,0.024,0.03577708763999664,0.0,0.0
privacy_triggered,0.75,0.5,2.0,0.492,0.14822280526288795,0.24065637180768729,0.15639101645793815,0.08930885111011615,0.02916316060336291,0.9587527759735325,0.013337547169222714,2.503642934679985,0.3478456421063717,1.016,0.29644561052577584,0.45599999999999996,0.1722788437388642,1.0316429346799851,0.353155365462122
privacy_triggered,0.75,0.5,5.0,0.492,0.14822280526288795,0.24065637180768729,0.15639101645793815,0.08930885111011615,0.02916316060336291,0.9587527759735325,0.013337547169222714,4.027642934679985,0.5208218857814877,2.54,0.7411140263144397,0.45599999999999996,0.1722788437388642,1.0316429346799851,0.353155365462122
privacy_triggered,0.75,0.5,10.0,0.492,0.14822280526288795,0.24065637180768729,0.15639101645793815,0.08930885111011615,0.02916316060336291,0.9587527759735325,0.013337547169222714,6.567642934679985,1.1834216690047428,5.08,1.4822280526288794,0.45599999999999996,0.1722788437388642,1.0316429346799851,0.353155365462122
privacy_triggered,0.75,0.5,20.0,0.492,0.14822280526288795,0.24065637180768729,0.15639101645793815,0.08930885111011615,0.02916316060336291,0.9587527759735325,0.013337547169222714,11.647642934679984,2.6371290576291377,10.16,2.9644561052577587,0.45599999999999996,0.1722788437388642,1.0316429346799851,0.353155365462122
privacy_triggered,0.75,0.5,40.0,0.492,0.14822280526288795,0.24065637180768729,0.15639101645793815,0.08930885111011615,0.02916316060336291,0.9587527759735325,0.013337547169222714,21.807642934679983,5.589666833223236,20.32,5.928912210515517,0.45599999999999996,0.1722788437388642,1.0316429346799851,0.353155365462122
privacy_triggered,0.75,0.6,2.0,0.9219999999999999,0.06300793600809344,0.8627693221094832,0.14892940229871976,0.3042078563389919,0.06520279348554674,0.9247406624227578,0.013854084362496072,4.887319699168205,0.9119510025217589,0.156,0.12601587201618691,0.8880000000000001,0.11099549540409287,3.8433196991682053,0.9523146608184662
privacy_triggered,0.75,0.6,5.0,0.9219999999999999,0.06300793600809344,0.8627693221094832,0.14892940229871976,0.3042078563389919,0.06520279348554674,0.9247406624227578,0.013854084362496072,5.121319699168206,0.9451042956961836,0.39,0.3150396800404673,0.8880000000000001,0.11099549540409287,3.8433196991682053,0.9523146608184662
privacy_triggered,0.75,0.6,10.0,0.9219999999999999,0.06300793600809344,0.8627693221094832,0.14892940229871976,0.3042078563389919,0.06520279348554674,0.9247406624227578,0.013854084362496072,5.511319699168205,1.074539262962632,0.78,0.6300793600809346,0.8880000000000001,0.11099549540409287,3.8433196991682053,0.9523146608184662
privacy_triggered,0.75,0.6,20.0,0.9219999999999999,0.06300793600809344,0.8627693221094832,0.14892940229871976,0.3042078563389919,0.06520279348554674,0.9247406624227578,0.013854084362496072,6.291319699168205,1.5076337829387043,1.56,1.2601587201618691,0.8880000000000001,0.11099549540409287,3.8433196991682053,0.9523146608184662
privacy_triggered,0.75,0.6,40.0,0.9219999999999999,0.06300793600809344,0.8627693221094832,0.14892940229871976,0.3042078563389919,0.06520279348554674,0.9247406624227578,0.013854084362496072,7.851319699168205,2.6251875390298607,3.12,2.5203174403237383,0.8880000000000001,0.11099549540409287,3.8433196991682053,0.9523146608184662
privacy_triggered,0.8,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
privacy_triggered,0.8,0.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
privacy_triggered,0.8,0.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
privacy_triggered,0.8,0.2,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
privacy_triggered,0.8,0.2,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
privacy_triggered,0.8,0.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
privacy_triggered,0.8,0.3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
privacy_triggered,0.8,0.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
privacy_triggered,0.8,0.3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
privacy_triggered,0.8,0.3,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
privacy_triggered,0.8,0.4,2.0,0.05,0.029154759474226504,0.0,0.0,0.0,0.0,0.9992818442797644,0.0010188583398805524,1.916,0.047749345545253265,1.9,0.05830951894845295,0.016,0.021908902300206645,0.0,0.0
privacy_triggered,0.8,0.4,5.0,0.05,0.029154759474226504,0.0,0.0,0.0,0.0,0.9992818442797644,0.0010188583398805524,4.766,0.1331540461270328,4.75,0.1457737973711323,0.016,0.021908902300206645,0.0,0.0
privacy_triggered,0.8,0.4,10.0,0.05,0.029154759474226504,0.0,0.0,0.0,0.0,0.9992818442797644,0.0010188583398805524,9.516,0.2783522947633091,9.5,0.2915475947422646,0.016,0.021908902300206645,0.0,0.0
privacy_triggered,0.8,0.4,20.0,0.05,0.029154759474226504,0.0,0.0,0.0,0.0,0.9992818442797644,0.0010188583398805524,19.016,0.5696314598053722,19.0,0.5830951894845292,0.016,0.021908902300206645,0.0,0.0
