seed,policy,tau_c,tau_r,C_h,automation_rate,exposure_rate,leakage_rate,system_f1,system_precision,system_recall,sens_precision,sens_recall,sens_f1,nsens_precision,nsens_recall,nsens_f1,expected_cost,human_cost,error_cost,leak_cost,n_deferred,n_total
42,autonomous,,,2.0,1.0,1.0,0.2765957446808511,0.898989898989899,0.8874643874643875,0.9108187134502924,0.8819875776397516,0.9015873015873016,0.8916797488226059,0.8921052631578947,0.9186991869918699,0.9052069425901201,4.471779183745384,0.0,1.22,3.251779183745384,0,100
42,autonomous,,,5.0,1.0,1.0,0.2765957446808511,0.898989898989899,0.8874643874643875,0.9108187134502924,0.8819875776397516,0.9015873015873016,0.8916797488226059,0.8921052631578947,0.9186991869918699,0.9052069425901201,4.471779183745384,0.0,1.22,3.251779183745384,0,100
42,autonomous,,,10.0,1.0,1.0,0.2765957446808511,0.898989898989899,0.8874643874643875,0.9108187134502924,0.8819875776397516,0.9015873015873016,0.8916797488226059,0.8921052631578947,0.9186991869918699,0.9052069425901201,4.471779183745384,0.0,1.22,3.251779183745384,0,100
42,autonomous,,,20.0,1.0,1.0,0.2765957446808511,0.898989898989899,0.8874643874643875,0.9108187134502924,0.8819875776397516,0.9015873015873016,0.8916797488226059,0.8921052631578947,0.9186991869918699,0.9052069425901201,4.471779183745384,0.0,1.22,3.251779183745384,0,100
42,autonomous,,,40.0,1.0,1.0,0.2765957446808511,0.898989898989899,0.8874643874643875,0.9108187134502924,0.8819875776397516,0.9015873015873016,0.8916797488226059,0.8921052631578947,0.9186991869918699,0.9052069425901201,4.471779183745384,0.0,1.22,3.251779183745384,0,100
42,confidence_only,0.75,,2.0,0.99,0.9787234042553191,0.2553191489361702,0.9051724137931034,0.8898305084745762,0.9210526315789473,0.8871951219512195,0.9238095238095239,0.9051321928460342,0.8921052631578947,0.9186991869918699,0.9052069425901201,4.114016717672348,0.02,1.08,3.014016717672348,1,100
42,confidence_only,0.75,,5.0,0.99,0.9787234042553191,0.2553191489361702,0.9051724137931034,0.8898305084745762,0.9210526315789473,0.8871951219512195,0.9238095238095239,0.9051321928460342,0.8921052631578947,0.9186991869918699,0.9052069425901201,4.144016717672348,0.05,1.08,3.014016717672348,1,100
42,confidence_only,0.75,,10.0,0.99,0.9787234042553191,0.2553191489361702,0.9051724137931034,0.8898305084745762,0.9210526315789473,0.8871951219512195,0.9238095238095239,0.9051321928460342,0.8921052631578947,0.9186991869918699,0.9052069425901201,4.194016717672348,0.1,1.08,3.014016717672348,1,100
42,confidence_only,0.75,,20.0,0.99,0.9787234042553191,0.2553191489361702,0.9051724137931034,0.8898305084745762,0.9210526315789473,0.8871951219512195,0.9238095238095239,0.9051321928460342,0.8921052631578947,0.9186991869918699,0.9052069425901201,4.294016717672348,0.2,1.08,3.014016717672348,1,100
42,confidence_only,0.75,,40.0,0.99,0.9787234042553191,0.2553191489361702,0.9051724137931034,0.8898305084745762,0.9210526315789473,0.8871951219512195,0.9238095238095239,0.9051321928460342,0.8921052631578947,0.9186991869918699,0.9052069425901201,4.4940167176723484,0.4,1.08,3.014016717672348,1,100
42,confidence_only,0.8,,2.0,0.75,0.7872340425531915,0.19148936170212766,0.9307359307359307,0.9214285714285714,0.9402332361516035,0.9164086687306502,0.9396825396825397,0.9278996865203761,0.9257294429708223,0.9407008086253369,0.9331550802139037,3.6250197958946226,0.5,0.82,2.305019795894623,25,100
42,confidence_only,0.8,,5.0,0.75,0.7872340425531915,0.19148936170212766,0.9307359307359307,0.9214285714285714,0.9402332361516035,0.9164086687306502,0.9396825396825397,0.9278996865203761,0.9257294429708223,0.9407008086253369,0.9331550802139037,4.375019795894623,1.25,0.82,2.305019795894623,25,100
42,confidence_only,0.8,,10.0,0.75,0.7872340425531915,0.19148936170212766,0.9307359307359307,0.9214285714285714,0.9402332361516035,0.9164086687306502,0.9396825396825397,0.9278996865203761,0.9257294429708223,0.9407008086253369,0.9331550802139037,5.625019795894623,2.5,0.82,2.305019795894623,25,100
42,confidence_only,0.8,,20.0,0.75,0.7872340425531915,0.19148936170212766,0.9307359307359307,0.9214285714285714,0.9402332361516035,0.9164086687306502,0.9396825396825397,0.9278996865203761,0.9257294429708223,0.9407008086253369,0.9331550802139037,8.125019795894623,5.0,0.82,2.305019795894623,25,100
42,confidence_only,0.8,,40.0,0.75,0.7872340425531915,0.19148936170212766,0.9307359307359307,0.9214285714285714,0.9402332361516035,0.9164086687306502,0.9396825396825397,0.9278996865203761,0.9257294429708223,0.9407008086253369,0.9331550802139037,13.125019795894623,10.0,0.82,2.305019795894623,25,100
42,confidence_only,0.85,,2.0,0.22,0.2127659574468085,0.0425531914893617,0.9819233550253073,0.9812138728323699,0.9826338639652678,0.9873817034700315,0.9936507936507937,0.990506329113924,0.976,0.973404255319149,0.9747003994673769,2.3237840712070463,1.56,0.24,0.5237840712070465,78,100
42,confidence_only,0.85,,5.0,0.22,0.2127659574468085,0.0425531914893617,0.9819233550253073,0.9812138728323699,0.9826338639652678,0.9873817034700315,0.9936507936507937,0.990506329113924,0.976,0.973404255319149,0.9747003994673769,4.663784071207046,3.9,0.24,0.5237840712070465,78,100
42,confidence_only,0.85,,10.0,0.22,0.2127659574468085,0.0425531914893617,0.9819233550253073,0.9812138728323699,0.9826338639652678,0.9873817034700315,0.9936507936507937,0.990506329113924,0.976,0.973404255319149,0.9747003994673769,8.563784071207046,7.8,0.24,0.5237840712070465,78,100
42,confidence_only,0.85,,20.0,0.22,0.2127659574468085,0.0425531914893617,0.9819233550253073,0.9812138728323699,0.9826338639652678,0.9873817034700315,0.9936507936507937,0.990506329113924,0.976,0.973404255319149,0.9747003994673769,16.363784071207046,15.6,0.24,0.5237840712070465,78,100
42,confidence_only,0.85,,40.0,0.22,0.2127659574468085,0.0425531914893617,0.9819233550253073,0.9812138728323699,0.9826338639652678,0.9873817034700315,0.9936507936507937,0.990506329113924,0.976,0.973404255319149,0.9747003994673769,31.963784071207048,31.2,0.24,0.5237840712070465,78,100
